chapter_num,file_name,local_path,r2_key,size_bytes,sha256
17,"Ch.17_Head_and_Neck_Ultrasound.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.17_Head_and_Neck_Ultrasound.pdf",sources/gottlieb-pocus-by-chapter/ch.17_head_and_neck_ultrasound.pdf,1611204,3ad09bbd4657081f8b4d03bc0e07a6cc2f227ea42c1845c47bc4a841a3004570
18,"Ch.18_Skin_and_Soft Tissue.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.18_Skin_and_Soft Tissue.pdf",sources/gottlieb-pocus-by-chapter/ch.18_skin_and_soft-tissue.pdf,1038207,f0726dcbee155235334cbd5f125483770d7dc9e30e90dd5cfb6508c5c13645e6
19,"Ch.19_Musculoskeletal_Ultrasound.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.19_Musculoskeletal_Ultrasound.pdf",sources/gottlieb-pocus-by-chapter/ch.19_musculoskeletal_ultrasound.pdf,2064178,2a37af5ffc661eca67292d8ade80494eaaa0a6e25bda9337840492cd5a28d7e9
20,"Ch.20_Vascular_Ultrasound.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.20_Vascular_Ultrasound.pdf",sources/gottlieb-pocus-by-chapter/ch.20_vascular_ultrasound.pdf,1848055,65c00ac6913afeeb6b1b7bc27e49432aaedcbb032fc5c0a10f85082c75012aa3
21,"Ch.21_Ultrasound_Guided_Procedures.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.21_Ultrasound_Guided_Procedures.pdf",sources/gottlieb-pocus-by-chapter/ch.21_ultrasound_guided_procedures.pdf,1536484,e320553b31ff669698ee8e9039da0b333902fe938de16a7cb3161146d1a96ef8
22,"Ch.22_Nerve_Blocks.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.22_Nerve_Blocks.pdf",sources/gottlieb-pocus-by-chapter/ch.22_nerve_blocks.pdf,1963277,17ed63f7a9d4b508437ea9d5b2cef390aea845c6102830b74184060cd9373800
23,"Ch.23_Resuscitative_Ultrasound.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.23_Resuscitative_Ultrasound.pdf",sources/gottlieb-pocus-by-chapter/ch.23_resuscitative_ultrasound.pdf,1421391,1b32cc177bd30572460b0bc7a9d81478db075bbc0795fe9b5b91bbb6967e889a
24,"Ch.24_Ultrasound_Education.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.24_Ultrasound_Education.pdf",sources/gottlieb-pocus-by-chapter/ch.24_ultrasound_education.pdf,527585,58d85d47695746562a8a9b542762e957b1d3241836a7e26c3240041dfc8c9ba6
25,"Ch.25_Ultrasound_Research.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.25_Ultrasound_Research.pdf",sources/gottlieb-pocus-by-chapter/ch.25_ultrasound_research.pdf,1276730,5672d29e6a1c4b9320d5ae2c2b6e0a3c2599bdfa100e7e646561e667f54a3def
26,"Ch.26_Diversity_Ultrasound.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.26_Diversity_Ultrasound.pdf",sources/gottlieb-pocus-by-chapter/ch.26_diversity_ultrasound.pdf,494486,dc5c47b970cffcd0d4add5e64359fbdf5ed6f370de785cbcd6320edd8b3e68d4
27,"Ch.27_Administration_Ultrasound Programs.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.27_Administration_Ultrasound Programs.pdf",sources/gottlieb-pocus-by-chapter/ch.27_administration_ultrasound-programs.pdf,355600,f19037a28b84aaea66c6f6bffdf586253a4f1c55a3bb8ebd07f1362da4afd979
28,"Ch.28_System_Management_Informatio_Technology.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.28_System_Management_Informatio_Technology.pdf",sources/gottlieb-pocus-by-chapter/ch.28_system_management_informatio_technology.pdf,552973,5d78445e7f07c017d2a9e455fba53fc99f295ae4ce2e29fca21fcf7cf4093b0c
29,"Ch.29_Emerging_Applications.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.29_Emerging_Applications.pdf",sources/gottlieb-pocus-by-chapter/ch.29_emerging_applications.pdf,547664,c147ac9232c97afe670345067c48ca57358188e6d931c0bdc35da0441baa0a2d
30,"Ch.30_Global_Health.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch.30_Global_Health.pdf",sources/gottlieb-pocus-by-chapter/ch.30_global_health.pdf,772364,b48056d37e07deff0ecc37466b7395f0cb3b2b3726cbd1cec08611a3b8fc4000
0,"Ch. 0 Intro.pdf","/Users/gabe/Downloads/Gottlieb POCUS by Chapter/Ch. 0 Intro.pdf",sources/gottlieb-pocus-by-chapter/ch.-0-intro.pdf,342596,61395f20588c5a274bb6a8adb11553edf06406be07b99c568c148b35224f4dbb
